"";"Nombre.buscado";"Nombre.trivago";"Precio.mb";"Hotel.mb";"Wifi.lobby";"Wifi.habitacion";"Piscina";"Spa";"Parqueadero";"Mascotas";"Aire.acondicionado";"Restaurante";"Bar";"Gimnasio";"Estrellas";"Puntaje";"Opinion.cualitativa";"cantidad.opiniones";"Latitud";"Longitud"
"452";"COSMOS PACIFICO HOTEL";"Hotel Cosmos Pacifico";251142;"Booking.com";"True";"True";"True";"True";"True";"True";"True";"True";"True";"True";"5";8,7;"Excelente";"239";"3.891153";"-77.078445"
"453";"HOTEL LA VIA CARTAGENA";"La Gran Via Hotel";252379;"lol.travel";"True";"True";"True";"False";"False";"True";"True";"True";"True";"False";"3";7,7;"Bueno";"1173";"10.39798";"-75.556831"
"454";"CORALES DE INDIAS";"Ghl Corales de Indias";363410;"lol.travel";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"4";8;"Muy bueno";"2725";"10.443166";"-75.525307"
"457";"GHL BOGOTA OCCIDENTE";"Ghl  Bogota Occidente";183006;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";8,5;"Excelente";"38";"4.625875";"-74.100815"
"459";"CAQUETA REAL";"Caquetá Real - HSC";202534;"Booking.com";"True";"True";"True";"False";"True";"False";"True";"True";"True";"False";"3";7,6;"Bueno";"10";"1.618082";"-75.612274"
"460";"VENTURA FLORIDABLANCA";"Ventura";174606;"ZenHotels.com";"True";"True";"False";"False";"True";"False";"True";"True";"False";"False";"4";8,8;"Excelente";"40";"7.040222";"-73.074715"
"462";"SONESTA DE IBAGUE";"Sonesta  Ibague";222105;"Agoda";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,7;"Excelente";"143";"4.440393";"-75.204475"
"466";"QUO HOTEL";"Hotel Quo Quality";339405;"Booking.com";"True";"True";"False";"True";"True";"True";"True";"True";"True";"True";"4";8,9;"Excelente";"237";"5.053359";"-75.488853"
"477";"HILTON GARDEN INN SANTA";"Hilton Garden Inn Santa Marta";279113;"Agoda";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,8;"Excelente";"267";"11.239301";"-74.215813"
"488";"GRAND HYATT BOGOTA";"Grand Hyatt Bogota";976977;"lol.travel";"True";"True";"True";"True";"True";"True";"True";"True";"True";"True";"4";9,2;"Excelente";"301";"4.642993";"-74.099808"
"490";"HAMPTON BY HILTON CUCUTA";"Hampton Inn By Hilton Cucuta";211275;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,8;"Excelente";"100";"7.884652";"-72.494553"
"491";"AC HOTEL SANTA MARTA";"AC Hotel Santa Marta";228757;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,2;"Muy bueno";"93";"11.240225";"-74.215652"
"494";"HILTON BOGOTA CORFERIAS";"Hilton Bogota Corferias";640957;"Agoda";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";8,6;"Excelente";"83";"4.628846";"-74.088615"
"496";"SAN LUIS PLACE BY DORADO";"San Luis Place By Dorado";314019;"Booking.com";"True";"True";"False";"False";"False";"True";"True";"False";"False";"False";"4";7,8;"Bueno";"72";"12.54955";"-81.704651"
"503";"SOY LOCAL HOUSETEL MEDELLIN";"Soy Local";132429;"Agoda";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,4;"Muy bueno";"371";"6.208081";"-75.565254"
"505";"SOY LOCAL CARTAGENA";"Soy Local Centro Historico";240386;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";8,1;"Muy bueno";"20";"10.42431";"-75.54837"
"507";"SOUL";"Soul Lifestyle";219621;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";8,2;"Muy bueno";"45";"6.207051";"-75.565659"
"508";"EXPO SUITES";"Expo Suites";124925;"lol.travel";"True";"True";"False";"False";"False";"False";"False";"True";"False";"False";"3";8,2;"Muy bueno";"257";"4.619897";"-74.069412"
"509";"L'Etoile BOGOTA";"L'Etoile";123476;"ZenHotels.com";"True";"True";"False";"False";"True";"False";"False";"True";"True";"False";"3";8,1;"Muy bueno";"432";"4.630611";"-74.064598"
"512";"ALKO BOUTIQUE CALI";"Hostel Boutique Palo Alto";118700;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";9;"Excelente";"Puntuación";"6.244224";"-75.595612"
"513";"ALKO HOTEL INTEGRADO CALI";"Alko Hotel Integrado";227211;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"False";"False";"4";8,3;"Muy bueno";"41";"3.367928";"-76.533012"
"514";"MANCO MORA";"Manco Mora";65064;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";9;"Excelente";"Puntuación";"6.267127";"-75.56546"
"526";"HOTEL LA MANSION ACACIAS";"La Mansión De Acacías";98917;"Booking.com";"False";"True";"False";"False";"True";"True";"True";"False";"True";"False";"3";7,7;"Bueno";"23";"3.987559";"-73.76619"
"527";"BIOHOTEL ORGANIC SUITES BOGOTA ";"Biohotel Organic Suites";240599;"Booking.com";"True";"True";"False";"False";"True";"True";"True";"True";"True";"True";"4";9;"Excelente";"294";"4.700217";"-74.029488"
"534";"MI HOTEL SANDIEGO";"Mi Hotel Sandiego";222436;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"4";8,3;"Muy bueno";"717";"6.232524";"-75.609695"
"537";"WINDSOR BARRANQUILLA";"Windsor Barranquilla";186535;"Booking.com";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";8;"Muy bueno";"455";"11.001821";"-74.819038"
"539";"MOCAWA TEBAIDA";"Mocawa Resort";509892;"Booking.com";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";8,8;"Excelente";"324";"4.446735";"-75.812393"
"540";"VISUS HOTEL BOUTIQUE";"Visus Hotel Boutique & Spa";545366;"Agoda";"True";"True";"True";"True";"True";"True";"False";"True";"True";"False";"3";8,9;"Excelente";"67";"4.820319";"-75.810745"
"541";"HOWARD JOHNSON VERSALLES BARRANQUILLA";"Howard Johnson Versalles Barranquilla";258549;"Booking.com";"True";"True";"True";"False";"True";"False";"True";"True";"False";"True";"3";7,8;"Bueno";"492";"10.997286";"-74.80825"
"544";"MONSERRAT BOGOTA";"Monserrat";211052;"Booking.com";"True";"True";"False";"True";"False";"False";"False";"True";"False";"False";"3";7,8;"Bueno";"160";"4.60432";"-74.067642"
"548";"CASA LA RIVIERA BOGOTA";"Casa La Riviera";121088;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"False";"False";"2";7,8;"Bueno";"303";"4.687226";"-74.04583"
"549";"HOTEL CENTRO INTERNACIONAL BOGOTA";"Hotel Centro Internacional";121600;"lol.travel";"True";"True";"False";"False";"True";"False";"False";"True";"True";"False";"3";8,3;"Muy bueno";"645";"4.627275";"-74.067986"
"552";"HOTEL EL CAMPIN";"Hotel El Campin";116824;"Booking.com";"True";"False";"False";"False";"True";"False";"True";"True";"True";"False";"3";7,3;"Muy bueno";"336";"4.641297";"-74.074699"
"554";"HOTEL CONFORT 80 BOGOTA";"Hotel Confort 80 Castellana";205594;"Booking.com";"False";"True";"False";"False";"False";"False";"False";"True";"False";"False";"2";7,7;"Bueno";"161";"4.683607";"-74.058319"
"555";"104 ART SUITES";"104 Art Suites";201927;"Agoda";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"4";8,7;"Excelente";"335";"4.691161";"-74.050346"
"556";"MATISSE BOGOTA";"Matisse";207939;"Booking.com";"True";"True";"False";"False";"False";"False";"False";"True";"True";"False";"3";8,3;"Muy bueno";"116";"4.65046";"-74.058075"
"562";"BALCONES DE MIRANDA BOUTIQUE";"Hotel Balcones de Miranda";112731;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"False";"False";"False";"3";7,7;"Bueno";"25";"4.688789";"-74.040886"
"563";"BOUTIQUE CASONA DE USAQUEN ";"Casona De Usaquen";129999;"Booking.com";"True";"True";"False";"False";"False";"True";"False";"True";"False";"False";"3";8,4;"Muy bueno";"249";"4.694118";"-74.031235"
"564";"BOSQUE ALTO APARTASUITE";"Bosque Alto Apartasuite";187516;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"False";"False";"True";"4";8,8;"Excelente";"559";"4.69371";"-74.03968"
"565";"HOTEL FERIAS PARK BOGOTA";"Hotel Ferias Park";94952;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"True";"True";"False";"3";7,3;"Muy bueno";"21";"4.686255";"-74.085693"
"568";"ABITARE 56";"Abitare 56";127532;"lol.travel";"True";"True";"False";"False";"True";"False";"False";"True";"False";"False";"3";8,6;"Excelente";"572";"4.642218";"-74.062943"
"570";"HOTEL EXCELSIOR";"Hotel Excelsior";4858722;"ZenHotels.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"3";8,3;"Muy bueno";"657";"4.672285";"-74.053185"
"571";"LLOYDS APARTASUITES";"Lloyds Apartasuites Parque 93";229205;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"False";"False";"False";"4";8,6;"Excelente";"661";"4.677691";"-74.04586"
"577";"RETIRO 84 BOGOTA";"Hotel Retiro 84";204551;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"False";"4";8,5;"Excelente";"147";"4.666336";"-74.050758"
"579";"HOTEL SANTA BARBARA REAL BOGOTA";"Santa Barbara Real";166624;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"True";"False";"4";7,2;"Excelente";"1399";"4.702039";"-74.029572"
"582";"HOTEL EMBASSY PARK BOGOTA";"Hotel Embassy Park";206275;"lol.travel";"True";"True";"False";"True";"True";"False";"False";"True";"True";"True";"4";8,1;"Muy bueno";"495";"4.634051";"-74.095154"
"586";"SUITES 108";"Suites 108";329110;"Booking.com";"True";"False";"False";"False";"True";"False";"False";"True";"True";"True";"4";8,4;"Muy bueno";"80";"4.692107";"-74.046127"
"587";"L'Etoile BOGOTA";"L'Etoile";124817;"ZenHotels.com";"True";"True";"False";"False";"True";"False";"False";"True";"True";"False";"3";8,1;"Muy bueno";"432";"4.630611";"-74.064598"
"589";"HOTEL EL VIRREY BOGOTA";"Hotel Bogotá Virrey";201578;"Booking.com";"True";"True";"False";"False";"False";"False";"True";"True";"True";"False";"3";7,5;"Bueno";"649";"4.672021";"-74.054314"
"591";"BESTMARK PLATINO BOGOTA";"BestMark Platino";119904;"ZenHotels.com";"True";"True";"False";"False";"False";"False";"False";"True";"True";"False";"3";8,1;"Muy bueno";"170";"4.63883";"-74.066711"
"594";"BH USAQUEN";"Hotel bh Usaquén";232696;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"True";"True";"4";8,5;"Excelente";"167";"4.696937";"-74.031555"
"595";"BOHEME ROYAL BOGOTA";"NH Bogotá Boheme Royal";351134;"Prestigia";"False";"False";"False";"False";"True";"False";"False";"True";"False";"True";"4";8,4;"Muy bueno";"942";"4.662384";"-74.048416"
"597";"TRYP  USAQUEN ";"Tryp Bogotá Usaquen";169813;"lol.travel";"True";"True";"False";"False";"True";"True";"True";"True";"True";"True";"5";8,1;"Muy bueno";"569";"4.697524";"-74.031799"
